,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,La felicità...,0,0,Drama,Germany,,False,0.6,de,1969-08-13,,0.0,0
1,Das Haus mit den sieben Stockwerken,0,0,Drama,Germany,,False,0.84,de,1968-10-18,,0.0,0
2,Der amerikanische Traum,0,0,Drama,Germany,,False,0.805,de,1962-02-24,,0.0,0
3,Seifuku shojo no itami,0,0,,Japan,Gendai eizō kikaku,False,0.6,ja,1981-09-25,63,0.0,0
4,Mond über dem Fjord,0,0,Drama,Germany,,False,0.84,de,1959-04-02,,0.0,0
5,Türen - Türen - Türen...,0,0,Comedy,Germany,,False,0.6,de,1954-10-19,,0.0,0
6,Dichters Ehrentag,0,0,Drama,Germany,,False,0.6,de,1967-12-09,,0.0,0
7,Des Meeres und der Liebe Wellen,0,0,Drama,Germany,,False,0.6,de,1965-04-11,,0.0,0
8,Australian Penguins,0,0,Documentary,,Dreamscape Media,False,0.6,en,2018-07-03,52,0.0,0
9,Black Butterfly,0,0,,,,False,0.6,ml,2013-02-15,136,0.0,0
10,Baker 2G,0,0,,,,False,0.6,en,,63,0.0,0
11,Baker - Bootleg,0,0,,,,False,0.6,en,,55,0.0,0
12,The Thrill Chaser,0,0,"Action, Adventure, Comedy, Drama",United States of America,Hoot Gibson Productions,False,0.6,en,1923-11-26,60,0.0,0
13,BEST PIZZAGATE DOCUMENTARY PEDOPHILIA RINGS EXPOSED By WIKILEAKS!,0,0,,,,False,0.6,en,,60,0.0,0
14,Family Deck,0,0,Animation,,,False,0.6,ja,2007-02-01,15,0.0,0
15,Charley Pride: I'm Just Me,0,0,"Music, Documentary",United States of America,"Corridor Productions, Public Broadcasting Service (PBS), New York Public Media, WNET / THIRTEEN",False,0.6,en,2019-02-22,102,0.0,0
16,Los apuros de dos gallos,0,0,,,,False,0.6,es,1963-02-23,,0.0,0
17,His First Tooth,0,0,Comedy,,Metro Pictures Corporation,False,0.6,en,1916-07-24,14,0.0,0
18,Rita Lee - Biograffiti: Ovelha Negra,0,0,"Documentary, Music",Brazil,"RWR, Biscoito Fino",False,0.6,pt,2007-12-31,,7.0,1
19,On Tour: Richard Thompson,0,0,Music,United States of America,"WHYY-TV, Public Broadcasting Service (PBS)",False,0.6,en,2011-01-04,29,0.0,0
20,Ruthless!,0,0,"Music, Comedy",United Kingdom,BroadwayHD,False,0.6,en,2019-02-14,108,0.0,0
21,Paper Chains,1500,0,Drama,,Mirus Films,False,0.64,en,2018-07-08,7,0.0,0
22,Goffredo Lombardo,0,0,Documentary,Italy,"Kubla Khan, Medusa Video",False,0.6,it,2003-12-31,20,0.0,0
23,On Tour: Marshall Crenshaw,0,0,Music,United States of America,"WHYY-TV, Public Broadcasting Service (PBS)",False,0.6,en,2013-04-18,29,0.0,0
24,Rita Lee - Biograffiti: Baila Comigo,0,0,"Documentary, Music",Brazil,"RWR, Biscoito Fino",False,0.806,pt,2007-12-31,,0.0,0
25,Seasonally Challenged,800,0,Comedy,,Shortclip Pictures,False,0.6,en,2017-02-26,,0.0,0
26,Robert Aickman: Author of Strange Tales,0,0,Documentary,United Kingdom,Tartarus Press,False,0.6,en,2015-05-28,45,0.0,0
27,On Tour: Alejandro Escovedo,0,0,Music,United States of America,"WHYY-TV, Public Broadcasting Service (PBS)",False,1.098,en,2014-06-25,29,0.0,0
28,Space War,0,0,"Science Fiction, Comedy",United States of America,,False,0.627,en,1997-01-01,3,0.0,0
29,On Tour: Steve Earle & The Dukes,0,0,Music,United States of America,"WHYY-TV, Public Broadcasting Service (PBS)",False,1.4,en,2018-02-22,29,0.0,0
30,Rita Lee - Biograffiti: Cor de Rosa Choque,0,0,"Documentary, Music",Brazil,"RWR, Biscoito Fino",False,0.6,pt,2007-12-31,,0.0,0
31,Sheffield: Sex City,0,0,,,,False,0.6,en,2018-06-05,2,0.0,0
32,Bloody Friday,0,0,"Crime, Mystery, Thriller",Hong Kong,Simpson Performance & Productions,False,0.627,cn,1996-09-14,94,0.0,0
33,Autoerotic Film,0,0,,,,False,0.6,en,2018-11-19,6,0.0,0
34,Beauty And The Senior 5,0,0,,,Video Art Holland,True,0.6,en,2016-03-02,120,0.0,0
