,adult,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
0,False,0,Western,en,1.533,Columbia Pictures,United States of America,1938-10-02,0,57,West of the Santa Fe,0.0,0
1,False,0,Drama,de,1.151,,Germany,2001-01-01,0,,Ein unmöglicher Mann,5.0,1
2,False,0,Drama,de,0.709,,Germany,2000-01-17,0,,Das gestohlene Leben,0.0,0
3,False,0,Documentary,en,1.4,,United States of America,1996-11-19,0,64,Visiting Desire,0.0,0
4,False,0,"Animation, Drama, Fantasy, Romance, Horror",ja,0.819,,,2011-11-02,0,8,Chiruri,6.3,6
5,False,0,,en,0.631,,,1970-01-14,0,,Maattukara Velan,6.0,1
6,False,0,Crime,en,0.885,,,1985-01-01,0,85,Flesh and Bullets,4.0,1
7,False,0,Music,sv,1.348,,Sweden,2014-07-23,0,,Gyllene Tider Dags att tänka på konserten,0.0,0
8,False,0,,en,0.804,,,1973-01-01,0,79,Flying Acquaintances,0.0,0
9,False,0,Comedy,en,1.753,"Red Hour, Paramount Pictures Digital Entertainment",United States of America,2015-08-18,0,51,Crash Test,5.5,6
10,False,0,Documentary,en,0.843,Tamaas,"United States of America, Morocco",2009-01-01,0,13,Le bled (Buildings in a Field),0.0,0
11,False,0,,es,0.963,,,2015-06-11,0,,La calle de los pianistas,0.0,0
12,False,0,Documentary,en,0.6,,,2010-01-01,0,25,The Cropping of the Spectacle,0.0,0
13,False,0,Documentary,en,1.176,,United States of America,2015-09-01,0,,Welcome to Bridgetown,0.0,0
14,False,0,Comedy,el,0.6,,Greece,2015-04-02,0,104,Παν.δη.μία,0.0,0
15,False,0,Documentary,en,1.471,Gunbarrel Productions,United States of America,2015-12-31,0,,Underground Comedy,0.0,0
16,False,6,,en,1.09,,,1975-03-17,0,78,"A Man, A Woman and A Killer",0.0,0
17,False,0,,el,0.6,,,2015-06-18,0,,Λύσσα Κακιά,4.0,1
18,False,0,"Family, Fantasy, Adventure, Animation",en,0.842,"Shogakukan, TMS Entertainment",Japan,2004-12-23,0,41,Hamtaro: Fairy Tale,0.0,0
19,False,0,"Documentary, Comedy",en,0.6,,United States of America,2015-08-18,0,88,Nerdgasm,5.0,1
20,False,0,,en,0.6,Jump Rope Technology Inc,United States of America,,0,28,Jump Rope Training,0.0,0
21,False,0,"Comedy, Documentary",de,0.911,ARTE,Germany,2015-08-19,0,,Mammon - Per Anhalter durch das Geldsystem,5.0,2
22,False,0,Comedy,en,3.686,Funny or Die,United States of America,2015-08-22,0,55,Tig Notaro: Boyish Girl Interrupted,6.5,6
23,False,0,Comedy,en,2.523,HBO,United States of America,2015-10-17,0,57,Amy Schumer: Live at the Apollo,6.5,37
24,False,0,,pl,0.6,,,1980-12-31,0,,Proszę słonia,6.5,1
25,False,0,,pl,0.6,,,,0,,Gaelforce Dance,7.5,1
