,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,Black Is … Black Ain’t,0,0,Documentary,,,False,0.87,en,1994-01-01,87,7.0,1
1,Gröna Hissen,0,0,Comedy,,,False,1.741,sv,2011-06-01,,2.0,1
2,30:e november,0,0,Drama,Sweden,"Svensk Filmindustri, Reaction Pictures, Svenska Filminstitutet",False,1.119,sv,1995-03-10,116,3.9,7
3,Charlie's Climbing Tree,0,0,"Animation, Family",Sweden,Poj Filmproduktion AB,False,0.6,sv,1975-12-25,96,7.5,2
4,Truth or Dare,0,0,"Family, Drama",Sweden,"CO. Film, Film i Väst",False,1.723,sv,1997-10-16,77,5.2,7
5,Solsting och snésprång,0,0,,,,False,0.876,sv,2009-06-17,,4.0,1
6,Ultimate Comedy 2,0,0,,,,False,0.6,sv,2004-01-01,,0.0,0
7,Alien Nation: Body and Soul,0,0,"TV Movie, Science Fiction",United States of America,20th Century Fox Television,False,2.901,en,1995-10-10,87,6.8,10
8,Unzipped,0,0,Documentary,United States of America,,False,0.958,en,1995-08-11,73,5.8,8
9,The Reunion,0,0,Comedy,Sweden,"Fladen Film, SVT, The Walt Disney Company Nordic",False,1.436,sv,2002-02-27,103,4.0,5
10,Notebook on Cities and Clothes,0,0,Documentary,Germany,"Road Movies Filmproduktion, Centre Pompidou, Centre de Creation Industrielle",False,0.6,de,1989-12-28,79,6.5,4
11,Festival,0,0,Drama,Sweden,"GötaFilm, Middle Earth Entertainment, MTV, The Walt Disney Company Nordic, TV4",False,1.284,sv,2001-02-16,96,5.0,3
12,Carmen's Kiss,0,0,"Thriller, Drama, Romance",,,False,1.176,en,2010-01-01,90,0.0,0
13,Les aventures de captain Brackmard et la bite de cristal,0,0,,,,False,0.829,fr,2010-01-30,,0.0,0
14,Head Against the Wall,0,0,Drama,France,,False,2.409,fr,1959-03-20,95,7.5,11
15,Cockfight,0,0,,,,False,0.6,en,,,0.0,0
16,Amateur Hour,0,0,,,,False,0.6,en,2011-01-11,,0.0,0
17,Fashion,0,0,,Germany,Daring! Media Group,True,0.6,en,2010-11-11,94,10.0,1
18,Place without Limits,0,0,Drama,Mexico,Conacite Dos,False,1.537,es,1978-04-28,110,7.3,9
19,Death Warmed Up,0,0,"Horror, Science Fiction","Australia, New Zealand","Tucker Production Company, New Zealand Film Commission",False,1.835,en,1985-01-01,78,4.1,10
20,The Photograph,0,0,Drama,Indonesia,,False,0.6,id,2007-07-05,94,0.0,0
21,Into the Abyss,0,0,"Documentary, Crime","United States of America, Germany, Canada",Creative Differences,False,5.237,en,2011-11-11,105,7.2,133
22,Private Road,0,0,Drama,United Kingdom,Maya Films,False,1.924,en,1971-01-17,89,7.5,4
23,Metallica: Live at Ullevi,0,0,,,,False,0.6,en,2011-07-02,106,0.0,0
24,Smitten,0,0,"Adventure, Documentary",Australia,,False,0.6,en,2011-07-23,90,0.0,0
25,The Asgard Project,0,0,Documentary,United Kingdom,Posing Productions,False,0.742,en,2009-12-01,68,4.7,3
26,想念,0,0,,Taiwan,,False,0.6,en,,86,7.5,1
27,Jesse Jane: Image,0,0,,United States of America,Digital Playground,True,0.622,en,2007-01-02,80,8.0,1
28,The Little Polar Bear: The Dream of Flying,0,0,"Animation, Family",Germany,"Rothkirch Cartoon Film, Westdeutscher Rundfunk, Warner Bros. Entertainment",False,0.933,de,2002-12-05,,0.0,0
29,Intimate Lighting,0,0,"Music, Drama, Comedy",Czech Republic,Československý státní film,False,1.46,cs,1965-04-08,71,6.9,8
30,Litsonero,0,0,Drama,Philippines,"Sine Direk, APT Entertainment, Directors Guild of the Philippines",False,1.093,en,2009-05-20,110,0.0,0
31,Happiness tumbler,0,0,,Taiwan,,False,0.6,en,,82,0.0,0
32,The Babysitter 18,0,0,,United States of America,"Multimedia Pictures, Notorious",True,0.6,en,2004-05-24,87,10.0,1
33,Wen Nuan De You Shang,0,0,Drama,Taiwan,,False,0.6,zh,2011-03-13,82,0.0,0
