,title,budget,revenue,genres,production_countries,production_companies,adult,popularity,original_language,release_date,runtime,vote_average,vote_count
0,The Residents: Is Anybody Out There?,0,0,,,,False,0.6,en,2009-01-01,,0.0,0
1,The Unfinished Works Of Sean Weathers,0,0,,,,False,0.6,en,2011-01-01,,0.0,0
2,Dance of My Heart,0,0,,,,False,0.6,en,1995-01-01,,0.0,0
3,Into the Teeth of the Blizzard,0,0,,,,False,0.6,en,1999-01-01,,0.0,0
4,Die Sonnenbrucks,0,0,Drama,Germany,DEFA,False,0.6,de,1951-03-01,,0.0,0
5,Anna Susanna,0,0,Drama,Germany,DEFA,False,2.744,de,1953-02-27,,0.0,0
6,Liebe ohne Illusion,0,0,Drama,Germany,Central Cinema Company Film (CCC),False,0.676,de,1955-04-06,88,0.0,0
7,Castles and Cottages,0,0,Drama,Germany,DEFA,False,0.6,de,1957-02-09,203,0.0,0
8,Misteri Dendam Balan Balan The Movie,0,0,"Mystery, Horror",,,False,0.898,en,2012-01-01,92,0.0,0
9,The Wiggles - Wiggle House,0,0,Family,Australia,"ABC for Kids, ABC Family",False,0.854,en,2014-06-21,78,0.0,0
10,Perfect World,0,0,,Denmark,,False,1.126,en,1990-04-30,76,0.0,0
11,Xime,0,0,Drama,"Netherlands, Guinea-Bissau","Les Matins Films, Molenwiek Film BV, Arco Iris",False,0.6,pt,1994-08-18,95,5.0,1
12,Starship Rising,3000000,0,"Action, Science Fiction",United States of America,"Morphius Film, Circle Pictures, Empire Motion Pictures",False,2.494,en,2014-08-08,91,3.1,17
13,Bhambatha: War of the Heads 1906,0,0,Documentary,South Africa,,False,0.6,en,2008-09-09,75,0.0,0
14,Bushman's Secret,0,0,,South Africa,,False,1.342,en,2006-06-16,52,0.0,0
15,Victory of Women,0,0,Drama,Japan,"Shochiku Co., Ltd.",False,0.6,ja,1946-04-18,84,7.0,3
16,You Make Me Feel So Young,0,0,,United States of America,,False,1.346,en,2013-04-12,80,0.0,0
17,The Ski Bum,0,0,"Comedy, Drama",,,False,1.4,en,1971-12-01,95,5.0,1
18,Fragments of Decay,0,0,,,,False,0.6,en,1983-06-20,12,7.5,2
